LinkedIn_news_id (by hour),LinkedIn_avg_popularity (by hour)
1,4.395833333333333
2,-0.125
3,-0.9375
4,20.125
5,-0.9375
6,208.02083333333334
7,-0.0625
8,-0.5
9,22.708333333333332
10,38.270833333333336
11,18.875
12,46.125
13,20.229166666666668
14,-0.1875
15,71.66666666666667
16,7.208333333333333
17,-0.5
18,8.770833333333334
19,11.916666666666666
20,87.91666666666667
21,-0.5
22,-0.4375
24,135.0
25,1.0833333333333333
26,4.104166666666667
27,-0.625
28,2.8333333333333335
29,-0.375
30,0.875
31,-3.0
32,-0.4375
33,4.291666666666667
34,1.5
35,119.64583333333333
36,16.125
37,-0.0625
38,94.29166666666667
39,4.291666666666667
40,23.770833333333332
41,-0.0625
42,70.4375
43,-1.125
44,-1.0
45,-0.0625
46,0.875
47,-0.6875
48,102.47916666666667
49,106.25
50,-3.0
51,-3.0
52,-0.75
53,-0.8125
55,-0.4375
56,-0.8125
57,-3.0
58,0.22916666666666666
59,-3.0
60,-0.0625
61,-3.0
62,-0.875
63,-1.0625
64,143.79166666666666
65,-0.375
66,-0.5625
67,-0.041666666666666664
68,39.520833333333336
71,-1.0625
73,-0.1875
74,38.5
75,-1.5416666666666667
76,-3.0
77,69.1875
79,2.1875
81,-1.5416666666666667
82,-0.5625
83,-1.25
84,55.270833333333336
85,15.020833333333334
87,-0.08333333333333333
88,30.0
89,2.625
90,41.4375
91,3.7291666666666665
92,146.14583333333334
98,5.125
99,-3.0
100,-1.375
201,33.354166666666664
202,-1.3125
203,-2.4583333333333335
204,-1.125
207,-2.5
208,-1.2708333333333333
209,-2.2291666666666665
214,88.3125
225,-0.9791666666666666
227,-2.6666666666666665
232,-1.9791666666666667
236,-1.3541666666666667
240,-1.625
241,-1.5
243,-1.0416666666666667
252,-2.6875
272,-2.0625
280,-0.9791666666666666
292,14.604166666666666
294,0.08333333333333333
396,2.875
403,-3.0
405,2.2291666666666665
406,-0.020833333333333332
409,18.979166666666668
410,-0.5625
411,3.2291666666666665
412,3.0625
413,-0.041666666666666664
417,-0.125
431,-0.041666666666666664
433,-1.3125
434,-0.020833333333333332
435,-0.6875
440,-0.375
441,0.0
442,-0.0625
443,-0.875
444,94.66666666666667
445,52.916666666666664
449,18.520833333333332
450,-1.375
451,-1.0
452,5.25
453,3.9583333333333335
460,-0.020833333333333332
461,-0.041666666666666664
462,24.520833333333332
463,-0.0625
467,225.60416666666666
471,14.958333333333334
472,160.04166666666666
474,-0.020833333333333332
477,0.0
478,-0.5
479,-0.0625
482,2.75
488,-3.0
489,-0.08333333333333333
492,-0.041666666666666664
495,197.54166666666666
497,-0.5625
498,-0.5208333333333334
499,45.375
500,-0.0625
501,0.0
502,-1.9166666666666667
503,-0.125
504,-0.1875
505,70.625
506,-0.020833333333333332
508,-0.8125
512,-0.041666666666666664
514,0.0
515,-1.0
516,-0.020833333333333332
517,-0.041666666666666664
520,56.9375
521,-2.0833333333333335
526,25.145833333333332
529,-0.020833333333333332
530,0.0
531,0.0
534,-0.020833333333333332
535,37.416666666666664
537,-0.5208333333333334
538,-0.5208333333333334
539,148.16666666666666
540,174.20833333333334
543,-0.5416666666666666
549,-0.125
550,-0.041666666666666664
551,22.458333333333332
552,-0.020833333333333332
554,0.0
555,-0.020833333333333332
556,-2.2291666666666665
557,-0.1875
558,41.75
571,-0.5
576,-0.125
577,17.020833333333332
578,12.041666666666666
579,-0.0625
580,-0.041666666666666664
581,15.416666666666666
582,39.104166666666664
583,-0.1875
584,-2.2708333333333335
585,-0.5
589,20.375
590,29.791666666666668
591,-0.125
592,-0.1875
600,-0.0625
601,-0.125
602,-0.125
605,2.5833333333333335
606,8.0
615,-0.041666666666666664
616,-0.1875
617,4.75
618,175.625
619,-0.25
623,-0.0625
626,65.22916666666667
627,38.625
628,899.5625
633,-0.6458333333333334
638,0.0
639,-0.020833333333333332
640,13.8125
645,-0.5
648,-0.0625
649,6.145833333333333
650,0.0
656,-0.7291666666666666
657,-0.75
658,1.1666666666666667
659,-0.020833333333333332
665,7.625
666,14.5
672,-0.0625
673,-0.0625
674,0.0
675,179.79166666666666
680,-0.041666666666666664
681,125.125
682,0.0
687,-0.75
690,23.270833333333332
691,17.958333333333332
696,-0.5
697,-0.5625
699,9.395833333333334
700,3.9166666666666665
701,12.4375
702,0.0
705,7.333333333333333
706,0.08333333333333333
707,-0.25
711,0.0
712,-0.020833333333333332
713,2.3125
714,322.7708333333333
715,0.16666666666666666
716,-3.0
717,-0.0625
724,-0.041666666666666664
725,25.083333333333332
733,-0.041666666666666664
734,-0.375
740,-0.020833333333333332
741,0.0
745,-0.5
748,11.729166666666666
749,-0.0625
750,57.208333333333336
751,-3.0
754,-3.0
757,-0.5
767,-0.0625
768,20.104166666666668
771,-0.1875
773,0.0
774,20.9375
776,28.854166666666668
777,0.9166666666666666
778,0.20833333333333334
779,-0.125
783,48.145833333333336
785,-0.0625
786,17.229166666666668
794,-0.041666666666666664
795,-0.125
798,192.875
802,17.104166666666668
805,-0.125
809,-0.3125
811,1273.4375
813,-0.0625
814,2.0
815,-0.8125
817,0.0
818,0.0
820,-0.0625
821,0.0
822,29.895833333333332
823,-0.125
824,-0.5
825,7.6875
826,0.0
827,51.270833333333336
828,202.22916666666666
831,2.875
832,120.72916666666667
833,0.0
834,2.8333333333333335
835,0.0
839,-0.5625
840,0.0
841,-0.0625
842,-0.041666666666666664
843,-0.75
844,38.3125
847,-0.9375
848,795.8125
849,45.354166666666664
850,-0.5
851,-0.5
852,8.875
853,28.125
857,2.7916666666666665
858,-0.8125
859,-0.020833333333333332
860,-0.1875
862,14.625
863,11.375
864,-0.020833333333333332
865,10.5625
868,8.5625
869,0.0
870,-3.0
871,1.9583333333333333
872,-0.041666666666666664
873,9.0
874,-0.5
875,-0.0625
876,28.6875
877,-0.25
878,-0.020833333333333332
879,2.375
880,-0.125
885,-0.5
886,-0.041666666666666664
887,0.0
889,115.5625
890,84.60416666666667
891,-0.6041666666666666
892,-0.1875
893,-0.0625
897,26.125
898,-0.375
899,-1.4375
900,-0.0625
901,23.208333333333332
903,-0.5
904,-0.5
905,-0.375
906,-0.25
908,54.625
909,-0.041666666666666664
911,16.9375
912,7.104166666666667
913,-0.0625
916,-0.5416666666666666
917,-0.6875
920,-0.0625
921,-0.020833333333333332
922,-0.3125
924,3.7291666666666665
925,21.833333333333332
926,-0.0625
927,-0.375
928,7.520833333333333
935,2.625
938,0.2708333333333333
939,0.0
940,-0.020833333333333332
942,77.10416666666667
943,34.020833333333336
944,40.0
945,-0.0625
948,635.2916666666666
949,0.0
950,-0.25
958,-0.25
959,0.0
960,234.04166666666666
961,6.4375
970,-0.1875
971,9.729166666666666
976,-0.041666666666666664
981,38.1875
987,-0.0625
988,5.0625
999,-0.020833333333333332
1000,-0.0625
