GooglePlus_news_id (by hour),GooglePlus_avg_popularity (by hour)
1,1.0833333333333333
2,-0.125
3,45.604166666666664
4,0.14583333333333334
5,-0.9375
6,109.4375
7,-0.0625
8,-0.5
9,1.5
10,3.5
11,-0.5625
12,5.3125
13,1.5
14,-0.1875
15,1.375
16,2.8333333333333335
17,-0.5
18,2.125
19,4.229166666666667
20,5.4375
21,-0.5
22,-0.4375
24,56.458333333333336
25,8.666666666666666
26,-0.3125
27,-0.625
28,-1.5416666666666667
29,-0.375
30,-1.0625
31,-3.0
32,2.0416666666666665
33,-1.5416666666666667
34,-0.75
35,45.25
36,2.6041666666666665
37,30.145833333333332
38,8.0
39,-1.5416666666666667
40,-1.0625
41,12.645833333333334
42,5.958333333333333
43,-1.125
44,-1.0
45,-0.0625
46,-1.0625
47,-0.6875
48,-0.125
49,-0.25
50,-3.0
51,-3.0
52,-0.75
53,-0.8125
55,-0.4375
56,1.375
57,-3.0
58,3.3958333333333335
59,-3.0
60,-0.0625
61,-3.0
62,-0.875
63,0.875
64,8.1875
65,-0.375
66,-0.5625
67,-0.041666666666666664
68,9.958333333333334
71,-1.0625
73,-0.1875
74,-0.08333333333333333
75,-1.5416666666666667
76,-3.0
77,19.0
79,-0.0625
81,-0.08333333333333333
82,11.625
83,-1.25
84,1.8541666666666667
85,-0.75
87,4.291666666666667
88,-0.875
89,0.75
90,1.375
91,3.7708333333333335
92,13.895833333333334
98,-0.4375
99,-3.0
100,0.25
201,-1.75
202,-1.3125
203,-2.4583333333333335
204,-1.125
207,-2.5
208,-1.2708333333333333
209,-2.2291666666666665
214,1.8958333333333333
225,-0.9791666666666666
227,-2.6666666666666665
232,-1.9791666666666667
236,-1.3541666666666667
240,-1.625
241,-1.5
243,-1.0416666666666667
252,-2.6875
272,-2.0625
280,-0.9791666666666666
292,-0.625
294,-2.2291666666666665
396,-0.0625
403,-3.0
405,-0.5625
406,-0.020833333333333332
409,8.770833333333334
410,-0.5625
411,6.625
412,-0.020833333333333332
413,-0.041666666666666664
417,-0.125
